Press CTRL-C to stop.
         495696 function calls (481712 primitive calls) in 108.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      219    0.025    0.000    0.025    0.000 sre_compile.py:413(<listcomp>)
       21    0.024    0.001    0.060    0.003 __init__.py:345(namedtuple)
      517    0.024    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
      543    0.024    0.000    0.033    0.000 sre_compile.py:249(_compile_charset)
       37    0.024    0.001    0.041    0.001 enum.py:221(<setcomp>)
     1736    0.024    0.000    0.034    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.024    0.024    0.077    0.077 binding.py:92(build_conditional_library)
        7    0.023    0.003    0.083    0.012 message.py:459(<listcomp>)
      215    0.023    0.000    0.030    0.000 core.py:457(__init__)
     1736    0.023    0.000    0.034    0.000 <frozen importlib._bootstrap>:878(__exit__)
     1011    0.023    0.000    0.023    0.000 {method 'endswith' of 'str' objects}
      416    0.023    0.000    0.053    0.000 copy.py:258(_reconstruct)
      517    0.023    0.000    0.175    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
      593    0.023    0.000    0.179    0.000 <frozen importlib._bootstrap>:156(__enter__)
      793    0.022    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        7    0.022    0.003    0.068    0.010 ssl.py:1193(sendall)
     1004    0.022    0.000    0.197    0.000 <frozen importlib._bootstrap>:385(cached)
      487    0.022    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
        1    0.022    0.022    3.678    3.678 __init__.py:8(<module>)
        6    0.021    0.004    8.875    1.479 http.py:875(execute)
      131    0.021    0.000    2.003    0.015 sre_compile.py:759(compile)
 1715/305    0.021    0.000    0.245    0.001 abc.py:100(__subclasscheck__)
     1168    0.021    0.000    0.028    0.000 enum.py:646(__new__)
     1282    0.021    0.000    0.021    0.000 sre_parse.py:111(__init__)
     3378    0.021    0.000    0.021    0.000 {built-in method _imp.acquire_lock}
      520    0.020    0.000    0.040    0.000 typing.py:696(__setattr__)
     3378    0.020    0.000    0.020    0.000 {built-in method _imp.release_lock}
       66    0.020    0.000    0.020    0.000 {built-in method posix.listdir}
       75    0.020    0.000    0.025    0.000 os.py:697(__iter__)
      138    0.020    0.000    0.055    0.000 _policybase.py:281(_sanitize_header)
       66    0.019    0.000    0.029    0.000 <frozen zipimport>:63(__init__)
      274    0.019    0.000    0.080    0.000 function_base.py:451(add_newdoc)
        6    0.019    0.003    0.038    0.006 __init__.py:262(<listcomp>)
      368    0.018    0.000    0.030    0.000 inspect.py:494(unwrap)
      507    0.018    0.000    0.027    0.000 enum.py:44(_is_private)
     1944    0.018    0.000    0.018    0.000 {method '__exit__' of '_thread.lock' objects}
        7    0.018    0.003    0.080    0.011 client.py:1055(putrequest)
        7    0.018    0.003    0.020    0.003 feedparser.py:70(close)
        7    0.018    0.003    0.133    0.019 api.py:18(expand)
        7    0.018    0.003    0.018    0.003 threading.py:228(__init__)
      558    0.018    0.000    1.324    0.002 <frozen importlib._bootstrap_external>:1341(find_spec)
       16    0.018    0.001    2.962    0.185 socket.py:690(readinto)
      131    0.018    0.000    0.135    0.001 sre_compile.py:536(_compile_info)
       15    0.018    0.001    0.021    0.001 {method 'readlines' of '_io._IOBase' objects}
        7    0.018    0.003    0.621    0.089 parser.py:59(parsestr)
      219    0.018    0.000    0.046    0.000 sre_compile.py:411(_mk_bitmap)
       60    0.018    0.000    0.131    0.002 parse.py:810(quote)
       44    0.018    0.000    0.018    0.000 parse.py:100(_noop)
     1046    0.018    0.000    0.243    0.000 {built-in method _abc._abc_instancecheck}
        2    0.017    0.009    0.067    0.034 ssl.py:482(__new__)
      487    0.017    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
        6    0.017    0.003    4.813    0.802 __init__.py:1410(_request)
     1180    0.017    0.000    0.022    0.000 inspect.py:2906(<genexpr>)
        1    0.017    0.017    0.017    0.017 main.py:114(get_matrix)
      112    0.017    0.000    0.021    0.000 _oid.py:11(__init__)
        1    0.017    0.017    1.816    1.816 discovery.py:15(<module>)
      783    0.016    0.000    0.016    0.000 {method 'items' of 'dict' objects}
       14    0.016    0.001    0.506    0.036 feedparser.py:178(_call_parse)
        2    0.016    0.008    0.124    0.062 request.py:2486(getproxies_environment)
       64    0.016    0.000    0.299    0.005 characters.py:18(<lambda>)
      487    0.016    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
     1180    0.016    0.000    0.021    0.000 inspect.py:2847(<genexpr>)
        9    0.016    0.002    0.017    0.002 __init__.py:1685(isEnabledFor)
        7    0.016    0.002    0.062    0.009 variable.py:297(_string_expansion)
      361    0.015    0.000    0.095    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.015    0.015    0.080    0.080 packages.py:1(<module>)
   745/17    0.015    0.000   11.055    0.650 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      600    0.015    0.000    0.042    0.000 sre_compile.py:423(_simple)
    21/20    0.015    0.001    0.017    0.001 {built-in method _imp.create_builtin}
        1    0.015    0.015    0.015    0.015 {built-in method _openssl.SSL_library_init}
       47    0.015    0.000    0.017    0.000 client.py:1259(<genexpr>)
        1    0.015    0.015    0.015    0.015 errors.py:16(OAuth2Error)
       11    0.015    0.001    0.017    0.002 six.py:939(ensure_text)
        2    0.015    0.007    0.016    0.008 adapters.py:146(init_poolmanager)
      726    0.014    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       47    0.014    0.000    0.014    0.000 {method 'fullmatch' of 're.Pattern' objects}
        2    0.014    0.007    0.015    0.008 socket.py:493(_real_close)
     1024    0.014    0.000    0.283    0.000 characters.py:19(<lambda>)
      585    0.014    0.000    0.014    0.000 <frozen importlib._bootstrap>:351(__init__)
      411    0.014    0.000    0.026    0.000 sre_parse.py:432(_uniq)
        1    0.014    0.014    0.016    0.016 models.py:599(__init__)
      416    0.014    0.000    0.016    0.000 {method '__reduce_ex__' of 'object' objects}
        7    0.014    0.002    0.014    0.002 {method 'settimeout' of '_socket.socket' objects}
      131    0.014    0.000    1.258    0.010 sre_parse.py:937(parse)
      593    0.014    0.000    0.064    0.000 <frozen importlib._bootstrap>:160(__exit__)
        3    0.014    0.005    0.014    0.005 ssl.py:718(verify_mode)
      368    0.013    0.000    0.018    0.000 inspect.py:2909(<dictcomp>)
       81    0.013    0.000    0.070    0.001 typing.py:722(__init__)
       81    0.013    0.000    0.020    0.000 discovery.py:134(fix_method_name)
      174    0.013    0.000    0.026    0.000 typing.py:130(_type_check)
     1927    0.013    0.000    0.013    0.000 {built-in method _thread.get_ident}
      315    0.013    0.000    0.013    0.000 {method 'decode' of 'bytes' objects}
      487    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap>:35(_new_module)
      547    0.012    0.000    0.024    0.000 {built-in method builtins.next}
        1    0.012    0.012    0.012    0.012 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
     1389    0.012    0.000    0.012    0.000 {built-in method _thread.allocate_lock}
        6    0.012    0.002    8.779    1.463 google_auth_httplib2.py:191(request)
    102/2    0.012    0.000    0.045    0.023 core.py:778(_parseNoCache)
        7    0.012    0.002    0.015    0.002 template.py:26(_merge)
      507    0.012    0.000    0.014    0.000 enum.py:22(_is_dunder)
        1    0.012    0.012    0.012    0.012 dsa.py:33(DSAPrivateKey)
      211    0.012    0.000    0.107    0.001 abc.py:84(__new__)
        1    0.012    0.012    0.014    0.014 _collections.py:61(__setitem__)
      411    0.011    0.000    0.011    0.000 {built-in method fromkeys}
     2598    0.011    0.000    0.011    0.000 {built-in method builtins.chr}
      184    0.011    0.000    0.122    0.001 inspect.py:2919(__eq__)
        1    0.011    0.011    0.011    0.011 hooks.py:23(dispatch_hook)
        6    0.011    0.002    0.016    0.003 client.py:414(close)
      401    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
       36    0.011    0.000    0.013    0.000 gzip.py:85(read)
      507    0.011    0.000    0.013    0.000 enum.py:33(_is_sunder)
      190    0.011    0.000    0.011    0.000 {method 'group' of 're.Match' objects}
      736    0.011    0.000    0.014    0.000 inspect.py:159(isfunction)
     1482    0.011    0.000    0.015    0.000 {built-in method from_bytes}
       28    0.010    0.000    0.014    0.001 message.py:29(_splitparam)
      520    0.010    0.000    0.020    0.000 typing.py:648(_is_dunder)
       32    0.010    0.000    0.012    0.000 structures.py:48(__setitem__)
      391    0.010    0.000    0.010    0.000 functools.py:65(wraps)
        8    0.010    0.001    0.046    0.006 decoder.py:332(decode)
        7    0.010    0.001    0.014    0.002 socket.py:302(makefile)
      131    0.010    0.000    0.025    0.000 enum.py:948(__and__)
        9    0.010    0.001    0.027    0.003 _collections_abc.py:932(update)
       58    0.010    0.000    0.052    0.001 core.py:3785(__init__)
      260    0.010    0.000    0.014    0.000 sre_parse.py:355(_escape)
      593    0.010    0.000    0.010    0.000 <frozen importlib._bootstrap>:152(__init__)
       60    0.010    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
       71    0.010    0.000    0.041    0.001 {method 'join' of 'bytes' objects}
      201    0.010    0.000    0.015    0.000 sre_parse.py:295(_class_escape)
       66    0.010    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
      310    0.010    0.000    0.010    0.000 {method 'copy' of 'dict' objects}
      140    0.010    0.000    0.010    0.000 {method 'find' of 'str' objects}
       12    0.009    0.001    0.018    0.002 queue.py:154(get)
     21/7    0.009    0.000    0.061    0.009 core.py:3816(streamline)
      616    0.009    0.000    0.014    0.000 _inspect.py:13(ismethod)
        7    0.009    0.001    3.766    0.538 client.py:1303(getresponse)
      415    0.009    0.000    0.016    0.000 {method '__getitem__' of 'dict' objects}
       95    0.009    0.000    0.009    0.000 discovery.py:1532(<genexpr>)
     1624    0.009    0.000    0.009    0.000 inspect.py:2577(kind)
      406    0.009    0.000    0.011    0.000 inspect.py:2627(__eq__)
      647    0.009    0.000    0.012    0.000 sre_parse.py:168(__setitem__)
      368    0.009    0.000    0.398    0.001 inspect.py:3128(signature)
        6    0.009    0.001    0.178    0.030 model.py:164(_build_query)
        6    0.009    0.001    0.433    0.072 iri2uri.py:60(iri2uri)
        7    0.009    0.001    0.023    0.003 client.py:237(__init__)
        7    0.009    0.001    0.604    0.086 parser.py:41(parse)
        7    0.009    0.001    2.901    0.414 client.py:267(_read_status)
       66    0.009    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
        2    0.008    0.004    0.125    0.063 socket.py:936(getaddrinfo)
      407    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
     56/9    0.008    0.000    0.146    0.016 core.py:3637(leave_whitespace)
      487    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:946(__init__)
      558    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap>:811(find_spec)
        2    0.008    0.004    0.015    0.008 unicode.py:63(<listcomp>)
        9    0.008    0.001    2.663    0.296 __init__.py:2(<module>)
       75    0.008    0.000    0.008    0.000 schema.py:172(__init__)
        1    0.008    0.008   24.693   24.693 googlecalendar.py:39(get_ut_schedules)
  148/121    0.008    0.000    0.011    0.000 sre_compile.py:461(_get_literal_prefix)
       72    0.008    0.000    0.009    0.000 __init__.py:269(_convert_byte_str)
       11    0.008    0.001    0.021    0.002 queue.py:122(put)
