Press CTRL-C to stop.
         495696 function calls (481712 primitive calls) in 108.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1756(LoggerAdapter)
        2    0.000    0.000    0.000    0.000 core.py:6532(__setattr__)
        1    0.000    0.000    0.000    0.000 legendre.py:1608(Legendre)
        1    0.000    0.000    0.000    0.000 zipfile.py:773(ZipExtFile)
        2    0.000    0.000    0.002    0.001 hashlib.py:82(__get_builtin_constructor)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.ERR_clear_error}
        1    0.000    0.000    0.001    0.001 util.py:12(__config_flags)
        1    0.000    0.000    0.000    0.000 extensions.py:173(AuthorityKeyIdentifier)
        1    0.000    0.000    0.000    0.000 cookiejar.py:867(DefaultCookiePolicy)
        1    0.000    0.000    0.000    0.000 proxy.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        1    0.000    0.000    0.005    0.005 orderedset.py:2(<module>)
        3    0.000    0.000    0.000    0.000 _header_value_parser.py:876(__new__)
        1    0.000    0.000    0.000    0.000 uu.py:27(<module>)
        1    0.000    0.000    0.001    0.001 core.py:5044(__init__)
        1    0.000    0.000    0.000    0.000 flow.py:80(Flow)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
        3    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.005    0.005 scanner.py:5(_import_c_make_scanner)
        1    0.000    0.000    0.000    0.000 headerregistry.py:16(Address)
        1    0.000    0.000    0.000    0.000 __init__.py:377(TTLCache)
        1    0.000    0.000    0.000    0.000 credentials.py:439(UserAccessTokenCredentials)
        2    0.000    0.000    0.969    0.485 __init__.py:11(default_backend)
        3    0.000    0.000    0.000    0.000 locale.py:386(normalize)
        1    0.000    0.000    0.000    0.000 rsa.py:23(RSAPrivateKey)
       16    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
        6    0.000    0.000    0.000    0.000 sre_parse.py:288(seek)
        1    0.000    0.000    0.000    0.000 http.py:284(MediaUpload)
        1    0.000    0.000    0.000    0.000 core.py:5430(Group)
        1    0.000    0.000    0.001    0.001 authorization.py:21(AuthorizationEndpoint)
        1    0.000    0.000    0.001    0.001 core.py:3759(And)
        1    0.000    0.000    0.000    0.000 policy.py:93(__init__)
        3    0.000    0.000    0.000    0.000 request.py:40(__init__)
        7    0.000    0.000    0.000    0.000 decode_asn1.py:184(__init__)
        1    0.000    0.000    0.000    0.000 mtls.py:15(<module>)
        1    0.000    0.000    0.000    0.000 models.py:732(iter_content)
        1    0.000    0.000    0.000    0.000 __init__.py:844(Handler)
        1    0.000    0.000    0.000    0.000 algorithms.py:94(CAST5)
        3    0.000    0.000    0.000    0.000 core.py:4753(_generateDefaultName)
        3    0.000    0.000    0.000    0.000 structures.py:62(__len__)
        3    0.000    0.000    0.000    0.000 hooks.py:18(<dictcomp>)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
        3    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        2    0.000    0.000    0.001    0.000 core.py:3299(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1127(_BaseV4)
        1    0.000    0.000    0.000    0.000 _oid.py:10(ObjectIdentifier)
        1    0.000    0.000    0.004    0.004 mixins.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 extensions.py:536(DistributionPoint)
        1    0.000    0.000    0.000    0.000 rsa.py:350(RSAPublicNumbers)
        1    0.000    0.000    0.000    0.000 interfaces.py:97(RSABackend)
        1    0.000    0.000    0.000    0.000 core.py:8081(_convert2ma)
        1    0.000    0.000    0.002    0.002 utils.py:147(deprecate)
        1    0.000    0.000    0.000    0.000 bz2.py:27(BZ2File)
        1    0.000    0.000    0.000    0.000 core.py:5373(Combine)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:128(HebrewProber)
        1    0.000    0.000    0.000    0.000 connectionpool.py:104(HTTPConnectionPool)
        4    0.000    0.000    0.803    0.201 six.py:219(is_package)
        2    0.000    0.000    0.000    0.000 datetime.py:823(__new__)
        3    0.000    0.000    0.001    0.000 _strptime.py:26(_getlang)
        1    0.000    0.000    0.000    0.000 zipfile.py:2227(Path)
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.003    0.003 _strptime.py:80(__calc_weekday)
        1    0.000    0.000    0.000    0.000 token.py:21(TokenEndpoint)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
       18    0.000    0.000    0.000    0.000 traceback.py:282(__len__)
        1    0.000    0.000    0.000    0.000 __init__.py:1188(Http)
        1    0.000    0.000    0.000    0.000 cookies.py:171(RequestsCookieJar)
        1    0.000    0.000    0.000    0.000 ocsp.py:68(<dictcomp>)
        1    0.000    0.000    0.000    0.000 binding.py:22(_OpenSSLError)
        1    0.000    0.000    0.000    0.000 retry.py:450(is_retry)
        1    0.000    0.000    0.000    0.000 core.py:4177(Each)
        6    0.000    0.000    0.000    0.000 core.py:4773(stopOn)
        2    0.000    0.000    0.018    0.009 linecache.py:36(getlines)
        2    0.000    0.000    0.001    0.001 re.py:315(_compile_repl)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       13    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
        1    0.000    0.000    0.001    0.001 http.py:663(MediaIoBaseDownload)
        1    0.000    0.000    0.007    0.007 core.py:452(DebugActions)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:62(<setcomp>)
        1    0.000    0.000    0.000    0.000 core.py:126(<listcomp>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base.py:55(PrivateFormat)
        1    0.000    0.000    0.005    0.005 _strptime.py:88(__calc_month)
        1    0.000    0.000    0.000    0.000 six.py:493(Module_six_moves_urllib)
        1    0.000    0.000    0.000    0.000 oauth1_session.py:54(OAuth1Session)
        1    0.000    0.000    0.001    0.001 models.py:579(prepare_hooks)
        1    0.000    0.000    0.000    0.000 client_options.py:79(__init__)
        1    0.000    0.000    0.000    0.000 __about__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 base.py:32(Client)
        1    0.000    0.000    0.004    0.004 connectionpool.py:282(_put_conn)
        1    0.000    0.000    0.023    0.023 unicode.py:80(alphanums)
        1    0.000    0.000    1.615    1.615 rsa.py:15(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:234(extract_zipped_paths)
        1    0.000    0.000    0.000    0.000 ocsp.py:358(_OCSPRequest)
        1    0.000    0.000    0.000    0.000 _saferef.py:88(BoundMethodWeakref)
        1    0.000    0.000    0.000    0.000 challenges.py:180(<dictcomp>)
        1    0.000    0.000    0.000    0.000 extensions.py:1122(NameConstraints)
        1    0.000    0.000    0.000    0.000 parse.py:144(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 policy.py:26(EmailPolicy)
        1    0.000    0.000    0.000    0.000 dh.py:154(DHPrivateKey)
        2    0.000    0.000    0.001    0.001 core.py:6633(__init__)
        1    0.000    0.000    0.000    0.000 tokens.py:28(OAuth2Token)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        6    0.000    0.000    0.000    0.000 results.py:262(haskeys)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
        1    0.000    0.000    0.000    0.000 challenges.py:50(ReauthChallenge)
        1    0.000    0.000    0.000    0.000 extensions.py:294(AuthorityInformationAccess)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.002    0.002 Image.py:3249(_apply_env_variables)
        1    0.000    0.000    0.001    0.001 core.py:324(condition_as_parse_action)
        1    0.000    0.000    0.000    0.000 dh.py:89(_DHPrivateKey)
        1    0.000    0.000    1.647    1.647 _service_account_info.py:15(<module>)
        8    0.000    0.000    0.002    0.000 core.py:5716(<genexpr>)
        1    0.000    0.000    0.000    0.000 backend.py:247(_is_fips_enabled)
        1    0.000    0.000    0.000    0.000 generator.py:26(Generator)
        1    0.000    0.000    0.000    0.000 dh.py:197(DHPublicKey)
        1    0.000    0.000    0.000    0.000 platform.py:778(uname_result)
        2    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:808(default_user_agent)
        1    0.000    0.000    0.000    0.000 utf8prober.py:35(UTF8Prober)
        3    0.000    0.000    0.000    0.000 retry.py:283(<listcomp>)
        1    0.000    0.000    0.001    0.001 uuid.py:78(SafeUUID)
        1    0.000    0.000    0.001    0.001 ocsp.py:62(OCSPCertStatus)
        1    0.000    0.000    0.000    0.000 parse.py:356(_fix_result_transcoding)
        2    0.000    0.000    0.000    0.000 random.py:117(__init__)
        1    0.000    0.000    0.000    0.000 _internal.py:248(_ctypes)
        1    0.000    0.000    0.021    0.021 unicode.py:70(alphas)
        1    0.000    0.000    0.000    0.000 ed25519.py:18(Ed25519PublicKey)
        1    0.000    0.000    0.001    0.001 sessions.py:98(get_redirect_target)
        1    0.000    0.000    0.000    0.000 core.py:3323(White)
        1    0.000    0.000    0.000    0.000 _cryptography_rsa.py:38(RSAVerifier)
        2    0.000    0.000    0.001    0.000 posixpath.py:372(abspath)
        1    0.000    0.000    0.000    0.000 errors.py:35(HttpError)
        1    0.000    0.000    0.000    0.000 ed448.py:41(Ed448PrivateKey)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:30(unicode_is_ascii)
        1    0.000    0.000    0.000    0.000 x509.py:530(_SignedCertificateTimestamp)
        1    0.000    0.000    0.000    0.000 x25519.py:35(X25519PrivateKey)
        4    0.000    0.000    0.821    0.205 six.py:119(_resolve)
        1    0.000    0.000    0.000    0.000 base.py:420(signal)
       14    0.000    0.000    0.000    0.000 {method '__contains__' of 'set' objects}
        3    0.000    0.000    0.002    0.001 core.py:1615(__invert__)
        1    0.000    0.000    0.000    0.000 core.py:5554(Suppress)
        1    0.000    0.000    0.000    0.000 hashes.py:36(HashContext)
        1    0.000    0.000    0.000    0.000 pathlib.py:135(<setcomp>)
        1    0.000    0.000    0.001    0.001 ssl.py:467(Purpose)
        1    0.000    0.000    0.000    0.000 http.py:551(MediaFileUpload)
        1    0.000    0.000    0.002    0.002 unicode.py:220(Japanese)
        1    0.000    0.000    0.000    0.000 dh.py:89(DHParameterNumbers)
        1    0.000    0.000    0.101    0.101 certs.py:4(<module>)
        1    0.000    0.000    0.000    0.000 challenges.py:84(PasswordChallenge)
        3    0.000    0.000    0.001    0.000 __init__.py:501(PYFUNCTYPE)
        8    0.000    0.000    0.000    0.000 six.py:199(__get_module)
        1    0.000    0.000    0.045    0.045 __init__.py:435(StrFormatStyle)
        4    0.000    0.000    0.000    0.000 __init__.py:24(<genexpr>)
        1    0.000    0.000    0.001    0.001 headers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dsa.py:155(DSAParameterNumbers)
        3    0.000    0.000    0.000    0.000 index_tricks.py:310(__init__)
        1    0.000    0.000    0.000    0.000 x448.py:35(X448PrivateKey)
        8    0.000    0.000    0.000    0.000 contentmanager.py:13(add_get_handler)
        1    0.000    0.000    0.000    0.000 common.py:331(CaseInsensitiveDict)
        2    0.000    0.000    0.000    0.000 cookies.py:104(__init__)
        1    0.000    0.000    0.005    0.005 url.py:320(_encode_target)
        4    0.000    0.000    0.001    0.000 six.py:236(create_module)
        1    0.000    0.000    0.001    0.001 core.py:4437(IndentedBlock)
        1    0.000    0.000    0.000    0.000 extensions.py:1204(Extension)
        1    0.000    0.000    0.000    0.000 extensions.py:1283(SubjectAlternativeName)
        4    0.000    0.000    0.000    0.000 core.py:3406(dtype)
        1    0.000    0.000    0.000    0.000 _datasource.py:198(DataSource)
        1    0.000    0.000    0.000    0.000 numeric.py:144(ones)
        1    0.000    0.000    0.000    0.000 hmac.py:27(HMAC)
        1    0.000    0.000    0.001    0.001 models.py:175(register_hook)
        1    0.000    0.000    0.017    0.017 request.py:937(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 credentials.py:25(Credentials)
        1    0.000    0.000    0.000    0.000 constant_time.py:5(<module>)
        1    0.000    0.000    0.000    0.000 name.py:79(NameAttribute)
        1    0.000    0.000    0.000    0.000 base.py:48(CipherContext)
        1    0.000    0.000    0.001    0.001 core.py:3124(view)
        2    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.OpenSSL_add_all_algorithms}
        4    0.000    0.000    0.000    0.000 mixins.py:51(_unary_method)
        1    0.000    0.000    0.000    0.000 threading.py:589(Barrier)
        3    0.000    0.000    0.001    0.000 core.py:1685(suppress)
        1    0.000    0.000    0.000    0.000 core.py:3911(Or)
        1    0.000    0.000    0.000    0.000 gzip.py:401(_GzipReader)
        1    0.000    0.000    0.000    0.000 __init__.py:148(FIFOCache)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
        1    0.000    0.000    0.001    0.001 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charsetprober.py:35(CharSetProber)
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 schema.py:169(_SchemaToStruct)
        2    0.000    0.000    0.010    0.005 core.py:2963(re)
        1    0.000    0.000    0.000    0.000 resource.py:20(ResourceEndpoint)
        1    0.000    0.000    0.000    0.000 es256.py:38(ES256Verifier)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        1    0.000    0.000    0.024    0.024 __init__.py:407(PercentStyle)
        1    0.000    0.000    0.000    0.000 ImageFont.py:157(FreeTypeFont)
        1    0.000    0.000    0.000    0.000 timeout.py:20(Timeout)
        1    0.000    0.000    0.001    0.001 ocsp.py:31(OCSPResponderEncoding)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.001    0.001 certificate_transparency.py:13(LogEntryType)
        1    0.000    0.000    0.000    0.000 hashes.py:70(Hash)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__init__)
        4    0.000    0.000    0.000    0.000 _util.py:5(isPath)
        1    0.000    0.000    0.000    0.000 cookiejar.py:736(Cookie)
        1    0.000    0.000    0.000    0.000 url.py:82(Url)
        1    0.000    0.000    0.001    0.001 core.py:695(add_condition)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1447(IPv4Network)
       13    0.000    0.000    0.000    0.000 enum.py:1011(<lambda>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 cmac.py:18(_CMACContext)
        1    0.000    0.000    0.000    0.000 oid.py:45(CRLEntryExtensionOID)
        1    0.000    0.000    0.006    0.006 utils.py:53(register_decorator)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 core.py:4066(MatchFirst)
        1    0.000    0.000    0.000    0.000 ec.py:142(_EllipticCurvePrivateKey)
        1    0.000    0.000    0.000    0.000 certificate_transparency.py:22(SignedCertificateTimestamp)
        1    0.000    0.000    0.000    0.000 decoder.py:10(_import_c_scanstring)
        1    0.000    0.000    0.000    0.000 random.py:784(getrandbits)
        1    0.000    0.000    0.000    0.000 extensions.py:974(<dictcomp>)
        2    0.000    0.000    0.001    0.000 core.py:5509(__init__)
        1    0.000    0.000    0.000    0.000 challenges.py:103(SecurityKeyChallenge)
        2    0.000    0.000    0.000    0.000 arrayprint.py:1546(set_string_function)
        1    0.000    0.000    0.001    0.001 helpers.py:700(OpAssoc)
        1    0.000    0.000    0.000    0.000 _utilities.py:100(__new__)
        1    0.000    0.000    0.000    0.000 headerregistry.py:399(MIMEVersionHeader)
        1    0.000    0.000    0.000    0.000 extensions.py:1675(UnrecognizedExtension)
        1    0.000    0.000    0.000    0.000 extensions.py:643(PolicyConstraints)
        5    0.000    0.000    0.000    0.000 six.py:186(_get_module)
        2    0.000    0.000    0.018    0.009 linecache.py:26(getline)
        2    0.000    0.000    0.000    0.000 headerregistry.py:563(__init__)
        1    0.000    0.000    0.000    0.000 core.py:198(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 core.py:3243(CharsNotIn)
        2    0.000    0.000    0.001    0.000 core.py:2280(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2501(CaselessKeyword)
        1    0.000    0.000    0.000    0.000 core.py:2865(Char)
        1    0.000    0.000    0.000    0.000 core.py:4907(Opt)
        1    0.000    0.000    0.000    0.000 backend.py:472(_register_x509_encoders)
        1    0.000    0.000    0.001    0.001 oid.py:152(CertificatePoliciesOID)
        1    0.000    0.000    0.000    0.000 ec.py:431(EllipticCurvePrivateNumbers)
        1    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 connection.py:187(_is_using_tunnel)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.038    0.038 _strptime.py:565(_strptime_datetime)
        1    0.000    0.000    0.000    0.000 server.py:628(SimpleHTTPRequestHandler)
        1    0.000    0.000    0.001    0.001 extensions.py:963(TLSFeatureType)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
        1    0.000    0.000    0.000    0.000 {built-in method sys.exit}
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 connection.py:276(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 iri2uri.py:2(<module>)
        1    0.000    0.000    0.001    0.001 base.py:65(Version)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 __init__.py:1286(close)
        1    0.000    0.000    0.000    0.000 extensions.py:736(PolicyInformation)
        1    0.000    0.000    0.000    0.000 base.py:488(CertificateBuilder)
        1    0.000    0.000    0.000    0.000 extensions.py:394(BasicConstraints)
        1    0.000    0.000    0.000    0.000 dsa.py:194(DSAPublicNumbers)
        1    0.000    0.000    0.000    0.000 __init__.py:41(Response)
        1    0.000    0.000    0.000    0.000 core.py:6234(mvoid)
        1    0.000    0.000    0.000    0.000 binding.py:107(Binding)
        1    0.000    0.000    0.006    0.006 connectionpool.py:74(__init__)
        1    0.000    0.000    0.000    0.000 socks.py:145(socksocket)
        1    0.000    0.000    0.000    0.000 x509.py:165(_RevokedCertificate)
        1    0.000    0.000    0.000    0.000 core.py:127(<listcomp>)
        1    0.000    0.000    0.000    0.000 adapters.py:84(HTTPAdapter)
        1    0.000    0.000    0.000    0.000 connection.py:318(set_cert)
        1    0.000    0.000    0.000    0.000 socket.py:661(SocketIO)
        1    0.000    0.000    0.000    0.000 credentials.py:332(Signing)
        1    0.000    0.000    0.000    0.000 ec.py:240(_EllipticCurvePublicKey)
        1    0.000    0.000    0.000    0.000 extensions.py:358(AccessDescription)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 __init__.py:549(__init__)
        1    0.000    0.000    0.000    0.000 core.py:91(__compat__)
        1    0.000    0.000    0.000    0.000 metadata.py:28(MetadataEndpoint)
        1    0.000    0.000    0.000    0.000 modes.py:190(GCM)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.001    0.001 jpcntx.py:30(<module>)
        8    0.000    0.000    0.000    0.000 six.py:80(_add_doc)
        1    0.000    0.000    0.000    0.000 dh.py:23(DHPrivateNumbers)
        1    0.000    0.000    0.000    0.000 zipfile.py:2159(CompleteDirs)
        1    0.000    0.000    0.000    0.000 retry.py:35(_RetryMeta)
        6    0.000    0.000    0.000    0.000 core.py:847(__init__)
        1    0.000    0.000    0.000    0.000 general_name.py:265(OtherName)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        1    0.000    0.000    0.001    0.001 models.py:61(path_url)
        1    0.000    0.000    0.000    0.000 threading.py:535(set)
        1    0.000    0.000    0.000    0.000 threading.py:510(Event)
        3    0.000    0.000    0.000    0.000 locale.py:469(_parse_localename)
        1    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.000    0.000 dh.py:56(DHPublicNumbers)
        1    0.000    0.000    0.000    0.000 extensions.py:265(SubjectKeyIdentifier)
        1    0.000    0.000    0.000    0.000 extensions.py:823(NoticeReference)
        3    0.000    0.000    0.000    0.000 threading.py:268(_acquire_restore)
        1    0.000    0.000    0.000    0.000 credentials.py:190(ReadOnlyScoped)
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.009    0.009 ctypeslib.py:365(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 models.py:272(PreparedRequest)
        1    0.000    0.000    0.000    0.000 request.py:2138(FancyURLopener)
        1    0.000    0.000    0.000    0.000 pathlib.py:136(<setcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:882(createLock)
        6    0.000    0.000    0.000    0.000 model.py:108(_log_request)
        2    0.000    0.000    0.011    0.005 core.py:2975(re_match)
        1    0.000    0.000    0.000    0.000 ed448.py:14(Ed448PublicKey)
        6    0.000    0.000    0.000    0.000 core.py:5456(postParse)
        1    0.000    0.000    0.000    0.000 dh.py:130(DHParameters)
        1    0.000    0.000    0.000    0.000 algorithms.py:151(ChaCha20)
        1    0.000    0.000    0.000    0.000 requests.py:248(AuthorizedSession)
        1    0.000    0.000    0.022    0.022 connectionpool.py:243(_get_conn)
        1    0.000    0.000    0.000    0.000 headerregistry.py:324(AddressHeader)
        1    0.000    0.000    0.000    0.000 extensions.py:786(UserNotice)
        1    0.000    0.000    0.000    0.000 response.py:68(addinfourl)
        1    0.000    0.000    0.001    0.001 unicode.py:75(nums)
        4    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:45(SingleByteCharSetProber)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        1    0.000    0.000    0.000    0.000 headerregistry.py:465(ContentTypeHeader)
        1    0.000    0.000    0.000    0.000 extensions.py:464(CRLDistributionPoints)
        1    0.000    0.000    0.000    0.000 _internal.py:204(dummy_ctype)
        6    0.000    0.000    0.000    0.000 _compression.py:150(tell)
        1    0.000    0.000    0.000    0.000 sre_parse.py:978(addgroup)
        1    0.000    0.000    0.000    0.000 socketserver.py:153(BaseServer)
        1    0.000    0.000    0.000    0.000 interfaces.py:254(DERSerializationBackend)
        1    0.000    0.000    0.000    0.000 errors.py:154(BatchError)
        1    0.000    0.000    0.000    0.000 core.py:4714(NotAny)
        1    0.000    0.000    0.000    0.000 interfaces.py:12(CipherBackend)
        6    0.000    0.000    0.000    0.000 core.py:3382(<genexpr>)
        1    0.000    0.000    0.000    0.000 unicode.py:144(Greek)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:870(Terminal)
        1    0.000    0.000    0.000    0.000 name.py:192(Name)
        1    0.000    0.000    0.000    0.000 Image.py:3285(Exif)
        2    0.000    0.000    0.001    0.000 datetime.py:665(__neg__)
        1    0.000    0.000    0.000    0.000 __init__.py:420(validate)
        1    0.000    0.000    0.000    0.000 weakref.py:485(popitem)
        1    0.000    0.000    0.000    0.000 general_name.py:46(RFC822Name)
        1    0.000    0.000    0.000    0.000 extensions.py:500(FreshestCRL)
        1    0.000    0.000    0.000    0.000 extensions.py:977(InhibitAnyPolicy)
        1    0.000    0.000    0.000    0.000 dsa.py:233(DSAPrivateNumbers)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:444(_setdef)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 ElementTree.py:1281(XMLPullParser)
        1    0.000    0.000    0.000    0.000 rsa.py:455(_RSAPublicKey)
        6    0.000    0.000    0.000    0.000 __init__.py:2174(createLock)
        1    0.000    0.000    0.000    0.000 weakref.py:365(__init__)
        1    0.000    0.000    0.000    0.000 core.py:128(<listcomp>)
        2    0.000    0.000    0.000    0.000 core.py:3381(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 headerregistry.py:160(BaseHeader)
        1    0.000    0.000    0.000    0.000 general_name.py:93(DNSName)
        1    0.000    0.000    0.001    0.001 certificate_transparency.py:18(Version)
        1    0.000    0.000    0.000    0.000 extensions.py:857(ExtendedKeyUsage)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1205(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 rsa.py:355(_RSAPrivateKey)
        1    0.000    0.000    0.000    0.000 poolmanager.py:139(PoolManager)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:385(NameAddr)
        1    0.000    0.000    0.000    0.000 base.py:77(GrantTypeBase)
        1    0.000    0.000    0.000    0.000 extensions.py:1425(PrecertificateSignedCertificateTimestamps)
        1    0.000    0.000    0.000    0.000 general_name.py:134(UniformResourceIdentifier)
        1    0.000    0.000    0.000    0.000 extensions.py:928(TLSFeature)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1976(MozillaCookieJar)
        1    0.000    0.000    0.000    0.000 proxy.py:4(connection_requires_http_tunnel)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 http.py:628(MediaInMemoryUpload)
        1    0.000    0.000    0.000    0.000 core.py:4501(AtStringStart)
        1    0.000    0.000    0.000    0.000 base.py:402(RevokedCertificate)
        1    0.000    0.000    0.000    0.000 modes.py:14(Mode)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:905(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 shlex.py:19(shlex)
        1    0.000    0.000    0.000    0.000 extensions.py:1311(IssuerAlternativeName)
        1    0.000    0.000    0.000    0.000 algorithms.py:29(AES)
        1    0.000    0.000    0.000    0.000 subprocess.py:108(CalledProcessError)
        1    0.000    0.000    0.000    0.000 mbcharsetprober.py:34(MultiByteCharSetProber)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_512}
        1    0.000    0.000    0.000    0.000 traceback.py:440(TracebackException)
        1    0.000    0.000    0.000    0.000 certs.py:27(where)
        1    0.000    0.000    0.000    0.000 testing.py:124(TestParseResultsAsserts)
        1    0.000    0.000    0.000    0.000 core.py:4522(AtLineStart)
        6    0.000    0.000    0.000    0.000 __init__.py:409(_updateCache)
        1    0.000    0.000    0.000    0.000 dsa.py:111(_DSAPrivateKey)
        1    0.000    0.000    0.001    0.001 base.py:71(ParameterFormat)
        2    0.000    0.000    0.000    0.000 utils.py:687(set_environ)
        1    0.000    0.000    0.000    0.000 escprober.py:35(EscCharSetProber)
        1    0.000    0.000    0.000    0.000 results.py:11(_ParseResultsWithOffset)
        1    0.000    0.000    0.000    0.000 core.py:4555(FollowedBy)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:333(MailboxList)
        1    0.000    0.000    0.000    0.000 headers.py:28(Headers)
        1    0.000    0.000    0.000    0.000 interfaces.py:232(PEMSerializationBackend)
        1    0.000    0.000    0.000    0.000 encoder.py:141(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
